bin,packets,bytes
11640.0,5,672
11650.0,1,342
11670.0,6,414
11680.0,2,84
11690.0,2,258
11700.0,4,330
11720.0,3,1026
11730.0,5,672
11740.0,2,684
11750.0,1,342
11760.0,8,1167
11770.0,13,1826
11780.0,4,713
11790.0,7,701
11810.0,3,371
11820.0,4,330
11850.0,7,1356
11860.0,2,684
11870.0,1,342
11880.0,49,5451
11890.0,24,2894
11900.0,3,450
11910.0,5,672
11940.0,4,330
11970.0,4,330
11980.0,4,1368
11990.0,3,600
12000.0,5,672
12010.0,1,342
12020.0,1,342
12030.0,6,1014
12060.0,4,330
12080.0,3,749
12090.0,11,2428
12100.0,4,833
12110.0,2,684
12120.0,2,428
12130.0,4,586
12140.0,5,1055
12150.0,2,428
12160.0,4,586
12180.0,50,5331
12190.0,13,1257
12200.0,2,108
12210.0,1,86
12220.0,6,1566
12230.0,3,1026
12240.0,2,428
12250.0,4,586
12260.0,2,684
12270.0,52,17264
12280.0,4,586
12290.0,3,600
12300.0,1,86
12310.0,3,244
12330.0,1,86
12340.0,5,471
12360.0,3,1026
12370.0,41,11798
12380.0,6,953
12390.0,1,342
12400.0,5,672
12410.0,1,342
12420.0,1,342
12430.0,5,384
12460.0,4,330
12480.0,44,4779
12490.0,28,3879
12500.0,3,450
12510.0,1,342
12520.0,5,672
12530.0,1,342
12540.0,1,342
12550.0,5,672
12580.0,4,330
12590.0,2,258
12610.0,5,672
12620.0,3,1026
12630.0,1,342
12640.0,5,672
12650.0,1,342
12660.0,1,342
12670.0,6,1014
12700.0,4,330
12730.0,4,330
12740.0,2,684
12750.0,2,684
12760.0,5,672
12770.0,1,342
12780.0,48,5726
12790.0,28,3303
12800.0,3,450
12820.0,4,330
12850.0,4,330
12870.0,6,1397
12880.0,7,756
12890.0,3,600
12900.0,1,342
12910.0,6,1014
12920.0,1,342
12930.0,1,342
12940.0,3,276
12950.0,1,54
12970.0,1,86
12980.0,3,244
12990.0,6,1498
13000.0,10,2610
13010.0,4,586
13020.0,2,684
13030.0,2,428
13040.0,4,586
13050.0,1,342
13060.0,2,428
13070.0,3,244
13080.0,50,5335
13090.0,1,86
13100.0,5,352
13120.0,1,86
13130.0,6,1270
13140.0,2,684
13150.0,2,428
13160.0,4,586
13170.0,1,342
13180.0,2,428
13190.0,6,844
13210.0,1,86
13220.0,5,470
13240.0,1,86
13250.0,5,640
13260.0,3,1026
13270.0,35,11311
13280.0,7,882
13290.0,1,342
13300.0,2,428
13310.0,6,982
13330.0,1,86
13340.0,3,244
13360.0,1,86
13370.0,6,739
13380.0,46,5463
13390.0,23,2951
13400.0,6,694
13410.0,10,1455
13420.0,11,1541
13430.0,8,1299
13440.0,1,342
13450.0,1,86
13460.0,6,615
13480.0,1,86
13490.0,5,502
13510.0,3,770
13520.0,5,928
13530.0,1,342
13540.0,5,799
13550.0,5,928
13560.0,1,342
13570.0,2,428
13580.0,3,244
13600.0,1,86
13610.0,3,244
13630.0,1,86
13640.0,6,1270
13650.0,1,342
13660.0,3,770
13670.0,4,586
13680.0,46,5211
13690.0,12,1441
13700.0,6,694
13720.0,1,86
13730.0,3,244
13750.0,1,86
13760.0,3,244
13770.0,4,1368
13780.0,5,799
13790.0,6,844
13800.0,3,838
13810.0,2,428
13820.0,5,928
13840.0,1,86
13850.0,3,244
13870.0,1,86
13880.0,3,244
13890.0,15,4025
13900.0,6,1519
13910.0,4,586
13920.0,1,342
13930.0,3,770
13940.0,4,586
13950.0,1,342
13960.0,1,86
13970.0,3,244
13980.0,49,5221
13990.0,19,2087
14000.0,5,352
14020.0,4,1112
14030.0,4,586
14040.0,1,342
14050.0,3,770
14060.0,4,586
14070.0,1,342
14080.0,2,428
14090.0,7,586
14100.0,2,84
14110.0,1,86
14120.0,3,244
14140.0,1,86
14150.0,6,1270
14160.0,2,684
14170.0,2,428
14180.0,4,586
14190.0,1,342
14200.0,4,671
14210.0,1,342
14220.0,2,509
14230.0,3,170
14250.0,4,298
14260.0,1,86
14270.0,36,11685
14280.0,55,6660
14290.0,22,2609
14300.0,3,450
14310.0,62,26928
14320.0,201,87288
14330.0,82,27392
14340.0,249,87382
14350.0,265,90937
14360.0,276,90696
14370.0,260,87711
14380.0,78,24320
14390.0,2,258
14400.0,2,684
14410.0,6,1014
14420.0,1,342
14430.0,1,342
14440.0,5,672
14450.0,2,684
14460.0,1,342
14470.0,3,244
14480.0,1,86
14500.0,3,244
14510.0,4,457
14530.0,7,1324
14540.0,1,342
14550.0,2,428
14560.0,6,982
14570.0,1,342
14580.0,23,2544
14590.0,34,3591
14600.0,21,2235
14610.0,3,162
14620.0,3,244
14630.0,2,140
14650.0,3,244
14660.0,3,1026
14670.0,45,22052
14680.0,9,1197
14690.0,3,600
14700.0,2,428
14710.0,4,586
14720.0,1,342
14740.0,4,330
14770.0,3,244
14780.0,1,86
14790.0,16,4364
14800.0,4,586
14810.0,1,342
14820.0,2,428
14830.0,4,586
14840.0,2,684
14860.0,4,330
14890.0,53,5575
14900.0,10,1013
14910.0,4,792
14920.0,5,928
14930.0,2,428
14940.0,1,342
14950.0,4,586
14960.0,2,684
14970.0,2,428
14980.0,6,739
14990.0,2,258
15010.0,4,330
15040.0,6,1270
15050.0,2,428
15060.0,1,342
15070.0,4,586
15080.0,5,1261
15090.0,1,342
15100.0,1,342
15110.0,4,298
15120.0,1,86
15140.0,3,244
15160.0,1,86
15170.0,41,12342
15180.0,6,953
15190.0,46,5211
15200.0,13,1536
15210.0,5,599
15220.0,1,342
15230.0,1,342
15240.0,4,330
15270.0,4,330
15290.0,2,258
15300.0,7,1612
15310.0,2,428
15320.0,1,342
15330.0,4,586
15340.0,1,342
15350.0,2,428
15360.0,4,586
15390.0,4,330
15420.0,4,586
15430.0,4,1112
15440.0,1,342
